San Lucido comune,San Lucido comune.1
,
San Lucido – Veduta,San Lucido – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Cosimo De Tommaso (indipendente) dal 13-06-2022
Territorio,Territorio
Coordinate,39°19′N 16°03′E
Altitudine,56 m s.l.m.
Superficie,"27,12 km²"
Abitanti,7 824[1] (30-11-2025)
Densità,"288,5 ab./km²"
Frazioni,"Deuda, Pollella, Granoriso, Varco, Acqualeone, Cerasuolo, Santa Lucia, San Giovanni, Miccisi, Acqua Bianca, Puppa"
Comuni confinanti,"Paola, Falconara Albanese, Rende, San Fili, Marano Marchesato, Marano Principato"
Altre informazioni,Altre informazioni
Cod. postale,87038
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078122
Cod. catastale,H971
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sanlucidani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Lucido,San Lucido
San Lucido – MappaPosizione del comune di San Lucido all'interno della provincia di Cosenza,San Lucido – MappaPosizione del comune di San Lucido all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
