Pietrafitta comune,Pietrafitta comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Antonio Muto (Uniti per Pietrafitta) dal 4-10-2021
Territorio,Territorio
Coordinate,39°15′39.71″N 16°20′21.84″E
Altitudine,700 m s.l.m.
Superficie,"9,49 km²"
Abitanti,1 121[1] (30-11-2025)
Densità,"118,12 ab./km²"
Frazioni,"Campitello, Monte"
Comuni confinanti,"Aprigliano, Casali del Manco, Cosenza"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078098
Cod. catastale,G615
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,pietrafittesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Pietrafitta,Pietrafitta
Pietrafitta – MappaPosizione del comune di Pietrafitta all'interno della provincia di Cosenza,Pietrafitta – MappaPosizione del comune di Pietrafitta all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
