Zumpano comune,Zumpano comune.1
,
Zumpano – VedutaLa chiesa madre di San Giorgio,Zumpano – VedutaLa chiesa madre di San Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Fabrizio Fabiano (lista civica Zumpano progetto comune) dal 4-10-2021
Territorio,Territorio
Coordinate,39°19′09.42″N 16°16′44.95″E
Altitudine,429 m s.l.m.
Superficie,"7,90 km²"
Abitanti,2 586[1] (30-11-2025)
Densità,"327,34 ab./km²"
Frazioni,"Cannuzze, Forevia, Malavicina, Menna-Vence, Motta, Rovella, San Michele, San Pasquale"
Comuni confinanti,"Cosenza, Lappano, Rende, Rovito, San Pietro in Guarano"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078155
Cod. catastale,M202
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,zumpanesi
Patrono,san Giorgio martire (Zumpano) Madonna del Carmine (fraz. Rovella)
Giorno festivo,23 aprile
Cartografia,Cartografia
Zumpano,Zumpano
Zumpano – MappaPosizione del comune di Zumpano all'interno della provincia di Cosenza,Zumpano – MappaPosizione del comune di Zumpano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
