Guardia Piemontese comune,Guardia Piemontese comune.1
(IT) Guardia Piemontese (OC) La Gàrdia,(IT) Guardia Piemontese (OC) La Gàrdia
,
Guardia Piemontese – VedutaL'antica torre di guardia,Guardia Piemontese – VedutaL'antica torre di guardia
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Vincenzo Rocchetti (lista civica ""Insieme per Guardia"") dal 4-10-2021"
Territorio,Territorio
Coordinate,39°28′N 16°00′E
Altitudine,515 m s.l.m.
Superficie,"21,46 km²"
Abitanti,1 767[1] (30-11-2025)
Densità,"82,34 ab./km²"
Frazioni,"Guardia Piemontese Marina, Guardia Piemontese Terme"
Comuni confinanti,"Acquappesa, Cetraro, Fuscaldo, Mongrassano"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078061
Cod. catastale,E242
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,guardioli (in occitano gardiòl)
Patrono,sant'Andrea apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Guardia Piemontese,Guardia Piemontese
Guardia Piemontese – MappaPosizione del comune di Guardia Piemontese all'interno della provincia di Cosenza,Guardia Piemontese – MappaPosizione del comune di Guardia Piemontese all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
