Colosimi comune,Colosimi comune.1
,
Colosimi – Veduta,Colosimi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giovanni Lucia (lista civica Insieme possiamo!) dal 26-5-2019
Territorio,Territorio
Coordinate,39°07′N 16°24′E
Altitudine,870 m s.l.m.
Superficie,"25,58 km²"
Abitanti,1 077[1] (30-11-2025)
Densità,"42,1 ab./km²"
Frazioni,"Arcuri, Carrano, Coraci, Gigliotti, Manche, Mascari, Melilla, Rizzuti, Silicella, Trearie, Volponi"
Comuni confinanti,"Bianchi, Carpanzano, Marzi, Parenti, Pedivigliano, Scigliano, Sorbo San Basile (CZ), Soveria Mannelli (CZ), Taverna (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078043
Cod. catastale,C905
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,colosimari
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Colosimi,Colosimi
Colosimi – MappaPosizione del comune di Colosimi all'interno della provincia di Cosenza,Colosimi – MappaPosizione del comune di Colosimi all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
