Cellara comune,Cellara comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Vincenzo Conte (lista civica ""La locomotiva"") dal 12-6-2022"
Territorio,Territorio
Coordinate,39°13′N 16°20′E
Altitudine,750 m s.l.m.
Superficie,"5,70 km²"
Abitanti,472[1] (30-11-2025)
Densità,"82,81 ab./km²"
Frazioni,"I Purcili, I Scigazzi, La Piticchia, Riposo, San Domenico, San Vito,"
Comuni confinanti,"Aprigliano, Figline Vegliaturo, Mangone, Santo Stefano di Rogliano"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078035
Cod. catastale,C437
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,cellaresi
Patrono,san Sebastiano
Cartografia,Cartografia
Cellara,Cellara
Cellara – MappaPosizione del comune di Cellara all'interno della provincia di Cosenza,Cellara – MappaPosizione del comune di Cellara all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
