Mandatoriccio comune,Mandatoriccio comune.1
,
Mandatoriccio – VedutaLitoranea di Marina di Mandatoriccio,Mandatoriccio – VedutaLitoranea di Marina di Mandatoriccio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Danilo Fuscaldo (Commissario prefettizio) dal 25-6-2025
Territorio,Territorio
Coordinate,39°28′N 16°50′E
Altitudine,561 m s.l.m.
Superficie,"37,32 km²"
Abitanti,2 394[1] (30-11-2025)
Densità,"64,15 ab./km²"
Frazioni,Stazione di Mandatoriccio
Comuni confinanti,"Campana, Pietrapaola, Scala Coeli"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078074
Cod. catastale,E878
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 927 GG[3]"
Nome abitanti,mandatoriccesi
Patrono,san Francesco di Paola
Giorno festivo,2 aprile
Cartografia,Cartografia
Mandatoriccio,Mandatoriccio
Mandatoriccio – MappaPosizione del comune di Mandatoriccio all'interno della provincia di Cosenza,Mandatoriccio – MappaPosizione del comune di Mandatoriccio all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
