Scalea comune,Scalea comune.1
,
Scalea – Veduta,Scalea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Mario Russo (lista civica Scalea rinasce) dal 26-5-2025
Territorio,Territorio
Coordinate,39°48′17.49″N 15°47′48.7″E
Altitudine,25 m s.l.m.
Superficie,"22,56 km²"
Abitanti,11 779[1] (30-11-2025)
Densità,"522,12 ab./km²"
Comuni confinanti,"Orsomarso, San Nicola Arcella, Santa Domenica Talao, Santa Maria del Cedro"
Altre informazioni,Altre informazioni
Cod. postale,87029
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078138
Cod. catastale,I489
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,scaleoti
Patrono,Beata Vergine Maria del Monte Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Scalea,Scalea
Scalea – MappaPosizione del comune di Scalea all'interno della provincia di Cosenza,Scalea – MappaPosizione del comune di Scalea all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
