Saracena comune,Saracena comune.1
,
Saracena – Veduta,Saracena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Renzo Russo (lista civica Sara bella) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,39°46′N 16°09′E
Altitudine,606 m s.l.m.
Superficie,"108,93 km²"
Abitanti,3 241[1] (30-11-2025)
Densità,"29,75 ab./km²"
Frazioni,Zoccalia
Comuni confinanti,"Altomonte, Castrovillari, Firmo, Lungro, Morano Calabro, Mormanno, Orsomarso, San Basile"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078136
Cod. catastale,I423
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,saracenari
Patrono,san Leone
Giorno festivo,20 febbraio
Cartografia,Cartografia
Saracena,Saracena
Saracena – MappaPosizione del comune di Saracena all'interno della provincia di Cosenza,Saracena – MappaPosizione del comune di Saracena all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
