Belsito comune,Belsito comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Elvira Cozza (lista civica Belsito domani) dal 13-6-2022
Territorio,Territorio
Coordinate,39°10′36.66″N 16°17′14.82″E
Altitudine,660 m s.l.m.
Superficie,"11,55 km²"
Abitanti,885[1] (30-11-2025)
Densità,"76,62 ab./km²"
Frazioni,Chiusi
Comuni confinanti,"Altilia, Carpanzano, Malito, Marzi, Paterno Calabro"
Altre informazioni,Altre informazioni
Cod. postale,87030
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078014
Cod. catastale,A768
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,belsitesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Belsito,Belsito
Belsito – MappaPosizione del comune di Belsito all'interno della provincia di Cosenza,Belsito – MappaPosizione del comune di Belsito all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
