Belvedere Marittimo comune,Belvedere Marittimo comune.1
,
Belvedere Marittimo – Veduta,Belvedere Marittimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Vincenzo Cascini (lista civica ""Progetto Belvedere"") dal 13-6-2022"
Territorio,Territorio
Coordinate,39°37′N 15°52′E
Altitudine,150 m s.l.m.
Superficie,"37,09 km²"
Abitanti,8 972[1] (30-11-2025)
Densità,"241,9 ab./km²"
Comuni confinanti,"Sant'Agata di Esaro, Buonvicino, Diamante, Sangineto"
Altre informazioni,Altre informazioni
Cod. postale,87021
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078015
Cod. catastale,A773
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,Belvederesi
Patrono,san Daniele Fasanella
Giorno festivo,13 ottobre
Cartografia,Cartografia
Belvedere Marittimo,Belvedere Marittimo
Belvedere Marittimo – MappaPosizione del comune di Belvedere Marittimo all'interno della provincia di Cosenza,Belvedere Marittimo – MappaPosizione del comune di Belvedere Marittimo all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
