Fagnano Castello comune,Fagnano Castello comune.1
,
Fagnano Castello – Veduta,Fagnano Castello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Raffaele Giglio (lista civica Fagnano attiva e solidale) dal 12-06-2022
Territorio,Territorio
Coordinate,39°34′N 16°03′E
Altitudine,516[1] m s.l.m.
Superficie,"29,67 km²"
Abitanti,3 259[2] (30-11-2025)
Densità,"109,84 ab./km²"
Frazioni,"Cafaro, Carbonaro, Ferraro, Mallamo, Mirabella, Policarette, Rinacchio, San Lauro, Sant'Angelo"
Comuni confinanti,"Acquappesa, Cetraro, Malvito, Mongrassano, San Marco Argentano, Santa Caterina Albanese"
Altre informazioni,Altre informazioni
Cod. postale,87013
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078051
Cod. catastale,D464
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 951 GG[4]"
Nome abitanti,fagnanesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Fagnano Castello,Fagnano Castello
Fagnano Castello – MappaPosizione del comune di Fagnano Castello all'interno della provincia di Cosenza,Fagnano Castello – MappaPosizione del comune di Fagnano Castello all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
