Verbicaro comune,Verbicaro comune.1
,
Verbicaro – Veduta,Verbicaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Felice Spingola (lista civica Rinascimento verbicarese) dal 10-06-2024
Territorio,Territorio
Coordinate,39°45′N 15°55′E
Altitudine,428 m s.l.m.
Superficie,"32,64 km²"
Abitanti,2 492[1] (30-11-2025)
Densità,"76,35 ab./km²"
Frazioni,San Francesco
Comuni confinanti,"Grisolia, Orsomarso, San Donato di Ninea, Santa Maria del Cedro"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078153
Cod. catastale,L747
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,verbicaresi
Patrono,Madonna delle Grazie
Giorno festivo,2 luglio
Cartografia,Cartografia
Verbicaro,Verbicaro
Verbicaro – MappaPosizione del comune di Verbicaro all'interno della provincia di Cosenza,Verbicaro – MappaPosizione del comune di Verbicaro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
