Santa Domenica Talao comune,Santa Domenica Talao comune.1
,
Santa Domenica Talao – Veduta,Santa Domenica Talao – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Alfredo Giuseppe Lucchesi (Lista civica Rinascita Democratica) dall'08-06-2009 (4º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,39°49′N 15°51′E
Altitudine,304 m s.l.m.
Superficie,"36,12 km²"
Abitanti,1 124[1] (30-11-2025)
Densità,"31,12 ab./km²"
Frazioni,"Magaroti, Costapisola, San Filippo, Sovareta, Cacchiarieddu, Valline, Acqua della Quercia, I Cciardi, I Cerri, Ragazzo"
Comuni confinanti,"Orsomarso, Papasidero, Praia a Mare, San Nicola Arcella, Scalea"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078130
Cod. catastale,I183
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,Santadomenicani
Patrono,"San Giuseppe, Madonna del Rosario"
Giorno festivo,Prima Domenica dopo 20 luglio (San Giuseppe). Prima Domenica di ottobre (Madonna del Rosario)
Cartografia,Cartografia
Santa Domenica Talao,Santa Domenica Talao
Santa Domenica Talao – MappaPosizione del comune di Santa Domenica Talao all'interno della provincia di Cosenza,Santa Domenica Talao – MappaPosizione del comune di Santa Domenica Talao all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
