Cetraro comune,Cetraro comune.1
,
Cetraro – Veduta,Cetraro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Aieta (lista civica di centro-sinistra) dal 26-05-2025
Territorio,Territorio
Coordinate,39°30′N 15°57′E
Altitudine,120 m s.l.m.
Superficie,"66,14 km²"
Abitanti,9 170[1] (30-11-2025)
Densità,"138,65 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Acquappesa, Bonifati, Fagnano Castello, Guardia Piemontese, Malvito, Sant'Agata di Esaro"
Altre informazioni,Altre informazioni
Cod. postale,87022
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078040
Cod. catastale,C588
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cetraresi
Patrono,san Benedetto da Norcia
Giorno festivo,11 luglio
Cartografia,Cartografia
Cetraro,Cetraro
Cetraro – MappaPosizione del comune di Cetraro all'interno della provincia di Cosenza,Cetraro – MappaPosizione del comune di Cetraro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
