Canna comune,Canna comune.1
,
Canna – VedutaVeduta notturna del paese,Canna – VedutaVeduta notturna del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Paolo Stigliano (lista civica Viva Canna) dal 15-5-2023 (2º mandato)
Territorio,Territorio
Coordinate,40°06′N 16°30′E
Altitudine,417 m s.l.m.
Superficie,"20,37 km²"
Abitanti,576[1] (30-11-2025)
Densità,"28,28 ab./km²"
Comuni confinanti,"Montegiordano, Nocara, Nova Siri (MT), Oriolo, Rocca Imperiale"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078024
Cod. catastale,B607
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cannesi
Patrono,Immacolata concezione
Giorno festivo,Ultima domenica di Maggio
PIL,(nominale) 1
PIL procapite,(nominale) 0
Cartografia,Cartografia
Canna,Canna
Canna – MappaPosizione del comune di Canna all'interno della provincia di Cosenza,Canna – MappaPosizione del comune di Canna all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
