Acri comune,Acri comune.1
,
Acri – Veduta,Acri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Pino Capalbo (PD) dal 27-6-2017 (2º mandato dal 27-6-2022)
Territorio,Territorio
Coordinate,39°30′N 16°23′E
Altitudine,720 m s.l.m.
Superficie,"199,43 km²"
Abitanti,18 083[1] (30-11-2025)
Densità,"90,67 ab./km²"
Frazioni,160 frazioni e località
Comuni confinanti,"Bisignano, Celico, Corigliano-Rossano, Longobucco, Luzzi, Rose, San Cosmo Albanese, San Demetrio Corone, San Giorgio Albanese, Santa Sofia d'Epiro, Vaccarizzo Albanese"
Altre informazioni,Altre informazioni
Cod. postale,87041
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078003
Cod. catastale,A053
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 256 GG[3]"
Nome abitanti,acresi (de iure) -acritani (de facto)
Patrono,San Giuseppe Sant’Angelo d’Acri
Giorno festivo,19 marzo 30 ottobre
Cartografia,Cartografia
Acri,Acri
Acri – MappaPosizione del comune di Acri all'interno della provincia di Cosenza,Acri – MappaPosizione del comune di Acri all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
