Rovito comune,Rovito comune.1
,
Rovito – Veduta,Rovito – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Giuseppe De Santis (lista civica ""Liberamente Rovito"") dal 4-10-2021"
Territorio,Territorio
Coordinate,39°19′N 16°19′E
Altitudine,744 m s.l.m.
Superficie,"10,68 km²"
Abitanti,2 898[1] (30-11-2025)
Densità,"271,35 ab./km²"
Frazioni,"Bosco, Cavallo Morto, Episcopani, Flavetto, Motta, Pianette, Rianico"
Comuni confinanti,"Casali del Manco, Celico, Cosenza, Lappano, San Pietro in Guarano, Zumpano"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078110
Cod. catastale,H621
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,rovitesi
Patrono,santa Barbara
Cartografia,Cartografia
Rovito,Rovito
Rovito – MappaPosizione del comune di Rovito all'interno della provincia di Cosenza,Rovito – MappaPosizione del comune di Rovito all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
