Tortora comune,Tortora comune.1
,
Tortora – Veduta,Tortora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Antonio Iorio (lista civica Nuova prospettiva per Tortora) dal 20-9-2020
Territorio,Territorio
Coordinate,39°56′28.69″N 15°48′18.63″E
Altitudine,300[1] m s.l.m.
Superficie,"58,22[1] km²"
Abitanti,5 930[2] (30-11-2025)
Densità,"101,86 ab./km²"
Frazioni,"Vedi: elenco montane, elenco marittime"
Comuni confinanti,"Aieta, Laino Borgo, Lauria (PZ), Maratea (PZ), Praia a Mare, Trecchina (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985; in alcune frazioni montane 0973
Fuso orario,UTC+1
Codice ISTAT,078149
Cod. catastale,L305
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 325 GG[4]"
Nome abitanti,tortoresi (in dialetto locale turturisi)
Patrono,san Biagio santo patrono[2] - sant'Antonio da Padova santo protettore
Giorno festivo,3 febbraio[2]
Cartografia,Cartografia
Tortora,Tortora
Tortora – MappaPosizione del comune di Tortora all'interno della provincia di Cosenza,Tortora – MappaPosizione del comune di Tortora all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
