Cerzeto comune,Cerzeto comune.1
,
Cerzeto – VedutaFrazione di S.Giacomo ed il Pollino sullo sfondo,Cerzeto – VedutaFrazione di S.Giacomo ed il Pollino sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Giuseppe Rizzo (lista civica ""Uniti per Cerzeto"") dal 22-9-2020"
Territorio,Territorio
Coordinate,39°31′N 16°07′E
Altitudine,450 m s.l.m.
Superficie,"21,9 km²"
Abitanti,1 208[1] (30-11-2025)
Densità,"55,16 ab./km²"
Frazioni,"Cavallerizzo, San Giacomo, Colombra, Serafinello"
Comuni confinanti,"Bisignano, Cervicati, Fuscaldo, Mongrassano, Rota Greca, San Martino di Finita, Torano Castello"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078039
Cod. catastale,C560
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,cerzeti o cerzetani (Qanot in arbëreshe)
Patrono,San Nicola di Mira
Giorno festivo,6 dicembre
Cartografia,Cartografia
Cerzeto,Cerzeto
Cerzeto – MappaPosizione del comune di Cerzeto all'interno della provincia di Cosenza,Cerzeto – MappaPosizione del comune di Cerzeto all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
