Marzi comune,Marzi comune.1
,
Marzi – Veduta,Marzi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Pietro Tucci (Lista civica ""Rinascita Civica per Marzi"") dal 13-6-2022"
Territorio,Territorio
Coordinate,39°10′14.27″N 16°18′25.38″E
Altitudine,530 m s.l.m.
Superficie,"15,81 km²"
Abitanti,939[1] (30-11-2025)
Densità,"59,39 ab./km²"
Frazioni,"Castagneto, Pedolata, Pezzapani, Serra, Tozzo, Farnete, Piano Semente, Critacchio, Orsara, Pallone"
Comuni confinanti,"Belsito, Carpanzano, Colosimi, Parenti, Paterno Calabro, Rogliano, Santo Stefano di Rogliano"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078078
Cod. catastale,F001
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 861 GG[3]"
Nome abitanti,marzesi
Patrono,Santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Marzi,Marzi
Marzi – MappaPosizione del comune di Marzi all'interno della provincia di Cosenza,Marzi – MappaPosizione del comune di Marzi all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
