Spezzano della Sila comune,Spezzano della Sila comune.1
,
Spezzano della Sila – VedutaVeduta del Comune,Spezzano della Sila – VedutaVeduta del Comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Salvatore Monaco (Partito Democratico) dal 4-10-2021
Territorio,Territorio
Coordinate,39°18′N 16°21′E
Altitudine,800 m s.l.m.
Superficie,"80,48 km²"
Abitanti,4 294[1] (30-11-2025)
Densità,"53,35 ab./km²"
Frazioni,"Camigliatello Silano, Campo San Lorenzo, Colle Lungo, Croce di Magara, Cupone, Cuponello, Moccone, Molarotta."
Comuni confinanti,"Casali del Manco, Celico, Longobucco"
Altre informazioni,Altre informazioni
Cod. postale,"87058, 87052"
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078143
Cod. catastale,I896
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,spezzanesi o silani
Patrono,san Biagio
Giorno festivo,dal 1º al 3 febbraio
Cartografia,Cartografia
Spezzano della Sila,Spezzano della Sila
Spezzano della Sila – MappaPosizione del comune di Spezzano della Sila all'interno della provincia di Cosenza,Spezzano della Sila – MappaPosizione del comune di Spezzano della Sila all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
