Morano Calabro comune,Morano Calabro comune.1
,
Morano Calabro – Veduta,Morano Calabro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Mario Donadio (lista civica Insieme per Morano) dal 10-06-2024
Territorio,Territorio
Coordinate,39°51′N 16°08′E
Altitudine,694 m s.l.m.
Superficie,"116,26 km²"
Abitanti,3 750[1] (30-11-2025)
Densità,"32,26 ab./km²"
Frazioni,Campotenese
Comuni confinanti,"Castrovillari, Chiaromonte (PZ), Mormanno, Rotonda (PZ), San Basile, Saracena, Viggianello (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,87016
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078083
Cod. catastale,F708
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 188 GG[3]"
Nome abitanti,moranesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Morano Calabro,Morano Calabro
Morano Calabro – MappaPosizione del comune di Morano Calabro all'interno della provincia di Cosenza,Morano Calabro – MappaPosizione del comune di Morano Calabro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
