Amantea comune,Amantea comune.1
,
Amantea – VedutaPanorama di Amantea,Amantea – VedutaPanorama di Amantea
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Vincenzo Pellegrino (lista civica ""Nea Polis"") dal 12-6-2022"
Territorio,Territorio
Coordinate,39°07′59.52″N 16°04′28.2″E
Altitudine,50 m s.l.m.
Superficie,"29,46 km²"
Abitanti,13 869[1] (30-11-2025)
Densità,"470,77 ab./km²"
Frazioni,"Acquicella, Camoli, Campora San Giovanni, Cannavina, Coreca, Catalimiti"
Comuni confinanti,"Belmonte Calabro, Lago, San Pietro in Amantea, Serra d'Aiello, Cleto, Nocera Terinese (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87032
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078010
Cod. catastale,A253
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 913 GG[3]"
Nome abitanti,amanteani o amanteoti
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Motto,(LA) Nobilis Fidelissima Regibus[4]
Cartografia,Cartografia
Amantea,Amantea
Amantea – MappaPosizione del comune di Amantea all'interno della provincia di Cosenza,Amantea – MappaPosizione del comune di Amantea all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
