Fiumefreddo Bruzio comune,Fiumefreddo Bruzio comune.1
,
Fiumefreddo Bruzio – Veduta,Fiumefreddo Bruzio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Fortunato Rosario Barone (Barone Sindaco) dal 27-5-2019
Territorio,Territorio
Coordinate,39°14′N 16°04′E
Altitudine,220 m s.l.m.
Superficie,"32,08 km²"
Abitanti,4 040[1] (30-11-2025)
Densità,"125,94 ab./km²"
Frazioni,"Marina (comprendente anche località Stazione, contrada Regio, contrada Scaro, località Scornavacca e località Vardano), San Biase"
Comuni confinanti,"Cerisano, Falconara Albanese, Longobardi, Mendicino"
Altre informazioni,Altre informazioni
Cod. postale,87030
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078055
Cod. catastale,D624
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,fiumefreddesi
Patrono,Immacolata concezione
Cartografia,Cartografia
Fiumefreddo Bruzio,Fiumefreddo Bruzio
Fiumefreddo Bruzio – MappaPosizione del comune di Fiumefreddo Bruzio all'interno della provincia di Cosenza,Fiumefreddo Bruzio – MappaPosizione del comune di Fiumefreddo Bruzio all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
