Santa Caterina Albanese comune,Santa Caterina Albanese comune.1
,
Santa Caterina Albanese – Veduta,Santa Caterina Albanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Davide Bufano (Unità Popolare) dal 10-6-2024
Territorio,Territorio
Coordinate,39°35′N 16°04′E
Altitudine,472 m s.l.m.
Superficie,"17,34[1] km²"
Abitanti,1 053[2] (30-11-2025)
Densità,"60,73 ab./km²"
Frazioni,"Ioggi, Pianette"
Comuni confinanti,"Fagnano Castello, Malvito, Roggiano Gravina, San Marco Argentano"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078129
Cod. catastale,I171
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Patrono,San Pantaleone
Giorno festivo,27 luglio
Cartografia,Cartografia
Santa Caterina Albanese,Santa Caterina Albanese
Santa Caterina Albanese – MappaPosizione del comune di Santa Caterina Albanese all'interno della provincia di Cosenza,Santa Caterina Albanese – MappaPosizione del comune di Santa Caterina Albanese all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
