Lappano comune,Lappano comune.1
,
Lappano – Veduta,Lappano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Angelo Marcello Gaccione (lista civica Cambiamo Lappano) dal 27-5-2019
Territorio,Territorio
Coordinate,39°19′11.28″N 16°18′43.2″E
Altitudine,650 m s.l.m.
Superficie,"12,22 km²"
Abitanti,848[1] (30-11-2025)
Densità,"69,39 ab./km²"
Frazioni,"Altavilla, Piano Fonte, Santo Stefano"
Comuni confinanti,"Celico, Rovito, San Pietro in Guarano, Zumpano"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078065
Cod. catastale,E450
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,lappanesi
Patrono,san Giovanni Battista
Cartografia,Cartografia
Lappano,Lappano
Lappano – MappaPosizione del comune di Lappano all'interno della provincia di Cosenza,Lappano – MappaPosizione del comune di Lappano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
