Aprigliano comune,Aprigliano comune.1
,
Aprigliano – Veduta,Aprigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Alessandro Leonardo Porco (lista civica Grande Aprigliano) dal 27-5-2019
Territorio,Territorio
Coordinate,39°14′N 16°21′E
Altitudine,718 m s.l.m.
Superficie,"121,27 km²"
Abitanti,2 311[1] (30-11-2025)
Densità,"19,06 ab./km²"
Frazioni,"Agosto, Corte, Grupa, Guarno, Petrone, Santo Stefano, Vico, San Nicola, Rota"
Comuni confinanti,"Casali del Manco, Cellara, Cosenza, Figline Vegliaturo, Parenti, Piane Crati, Pietrafitta, Rogliano, San Giovanni in Fiore, Santo Stefano di Rogliano, Taverna (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87051
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078012
Cod. catastale,A340
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 227 GG[3]"
Nome abitanti,apriglianesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Aprigliano,Aprigliano
Aprigliano – MappaPosizione del comune di Aprigliano all'interno della provincia di Cosenza,Aprigliano – MappaPosizione del comune di Aprigliano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
