Mendicino comune,Mendicino comune.1
,
Mendicino – Veduta,Mendicino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Irma Bucarelli (lista civica ""Orizzonte Mendicino"") dal 10-6-2024"
Territorio,Territorio
Coordinate,39°15′46.15″N 16°11′40.27″E
Altitudine,500 m s.l.m.
Superficie,"34,72 km²"
Abitanti,8 899[1] (30-11-2025)
Densità,"256,31 ab./km²"
Frazioni,"Candelisi, Cappelli, Ferrera, Merenzate, Malaugello, Palagani, Pasquali, Pirillo, Ponte Carolei, Rizzuto, Rosario, San Bartolo, Santa Maria, San Paolo, Terredonniche, Tivolille"
Comuni confinanti,"Belmonte Calabro, Carolei, Castrolibero, Cerisano, Cosenza, Dipignano, Domanico, Fiumefreddo Bruzio, Lago, Longobardi"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078079
Cod. catastale,F125
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 799 GG[3]"
Nome abitanti,mendicinesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Mendicino,Mendicino
Mendicino – MappaPosizione del comune di Mendicino all'interno della provincia di Cosenza,Mendicino – MappaPosizione del comune di Mendicino all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
