San Giorgio Albanese comune,San Giorgio Albanese comune.1
,
San Giorgio Albanese – Veduta,San Giorgio Albanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Gianni Gabriele (lista civica Rinnovare per crescere) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,39°36′15.57″N 16°27′47.98″E
Altitudine,428 m s.l.m.
Superficie,"22,68 km²"
Abitanti,1 259[1] (30-11-2025)
Densità,"55,51 ab./km²"
Frazioni,"Colucci, Palombara, Pantanello"
Comuni confinanti,"Acri, Corigliano-Rossano, San Cosmo Albanese, Vaccarizzo Albanese"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078118
Cod. catastale,H881
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,(IT) sangiorgesi (AAE) Mbusaziotë
Patrono,san Giorgio Megalomartire
Giorno festivo,23 aprile
Cartografia,Cartografia
San Giorgio Albanese,San Giorgio Albanese
San Giorgio Albanese – MappaPosizione del comune di San Giorgio Albanese all'interno della provincia di Cosenza,San Giorgio Albanese – MappaPosizione del comune di San Giorgio Albanese all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
