San Sosti comune,San Sosti comune.1
,
San Sosti – VedutaSan Sosti visto dal castello della rocca,San Sosti – VedutaSan Sosti visto dal castello della rocca
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Vincenzo De Marco (lista civica Il sole per San Sosti) dal 12-6-2022
Territorio,Territorio
Coordinate,39°40′N 16°02′E
Altitudine,363[1] m s.l.m.
Superficie,"43,55 km²"
Abitanti,1 838[2] (30-11-2025)
Densità,"42,2 ab./km²"
Frazioni,"Fravitta, Macellara"
Comuni confinanti,"Altomonte, Buonvicino, Grisolia, Malvito, Mottafollone, Roggiano Gravina, San Donato di Ninea"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078128
Cod. catastale,I165
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,Sansostesi
Patrono,San Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
San Sosti,San Sosti
San Sosti – MappaPosizione del comune di San Sosti all'interno della provincia di Cosenza,San Sosti – MappaPosizione del comune di San Sosti all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
