Mangone comune,Mangone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Orazio Berardi (lista civica Sempre avanti) dal 4-10-2021
Territorio,Territorio
Coordinate,39°12′N 16°20′E
Altitudine,805 m s.l.m.
Superficie,"12,27 km²"
Abitanti,1 902[1] (30-11-2025)
Densità,"155,01 ab./km²"
Frazioni,"Colla, Piano Lago, Timparello"
Comuni confinanti,"Cellara, Figline Vegliaturo, Paterno Calabro, Santo Stefano di Rogliano"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078075
Cod. catastale,E888
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 399 GG[3]"
Nome abitanti,mangonesi
Patrono,Madonna dell'Arco
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Mangone,Mangone
Mangone – MappaPosizione del comune di Mangone all'interno della provincia di Cosenza,Mangone – MappaPosizione del comune di Mangone all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
