Cerchiara di Calabria comune,Cerchiara di Calabria comune.1
,
Cerchiara di Calabria – Veduta,Cerchiara di Calabria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Giuseppe Ramundo (lista civica Cerchiara Domani) dal 10-6-2024
Territorio,Territorio
Coordinate,39°52′N 16°22′E
Altitudine,650 m s.l.m.
Superficie,"81,97 km²"
Abitanti,2 074[1] (30-11-2025)
Densità,"25,3 ab./km²"
Comuni confinanti,"Alessandria del Carretto, Cassano all'Ionio, Castrovillari, Civita, Francavilla Marittima, Plataci, San Lorenzo Bellizzi, Terranova di Pollino (PZ), Villapiana"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078036
Cod. catastale,C489
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cerchiaresi
Patrono,san Bonifacio di Tarso - Maria SS. delle Armi
Giorno festivo,14 maggio - 25 aprile
Cartografia,Cartografia
Cerchiara di Calabria,Cerchiara di Calabria
Cerchiara di Calabria – MappaPosizione del comune di Cerchiara di Calabria all'interno della provincia di Cosenza,Cerchiara di Calabria – MappaPosizione del comune di Cerchiara di Calabria all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
