San Fili comune,San Fili comune.1
,
San Fili – Veduta,San Fili – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Linda Cribari (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,39°20′16.98″N 16°08′35.55″E
Altitudine,566 m s.l.m.
Superficie,"20,96 km²"
Abitanti,2 419[1] (30-11-2025)
Densità,"115,41 ab./km²"
Frazioni,"Bucita, Frassino"
Comuni confinanti,"Marano Principato, Montalto Uffugo, Paola, Rende, San Lucido, San Vincenzo La Costa"
Altre informazioni,Altre informazioni
Cod. postale,87037
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078116
Cod. catastale,H841
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 254 GG[3]"
Nome abitanti,sanfilesi
Patrono,"San Francesco di Paola, Nostra Signora del Monte Carmelo"
Giorno festivo,"12 ottobre, 16 luglio"
Cartografia,Cartografia
San Fili,San Fili
San Fili – MappaPosizione del comune di San Fili all'interno della provincia di Cosenza,San Fili – MappaPosizione del comune di San Fili all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
