Buonvicino comune,Buonvicino comune.1
,
Buonvicino – VedutaSantuario Madonna della Neve,Buonvicino – VedutaSantuario Madonna della Neve
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Angelina Barbiero (lista civica Bene comune) dal 27-5-2019
Territorio,Territorio
Coordinate,39°41′N 15°53′E
Altitudine,400 m s.l.m.
Superficie,"30,6 km²"
Abitanti,1 968[1] (30-11-2025)
Densità,"64,31 ab./km²"
Comuni confinanti,"Belvedere Marittimo, Diamante, Grisolia, Maierà, Mottafollone, San Sosti, Sant'Agata di Esaro"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078020
Cod. catastale,B270
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,buonvicinesi
Patrono,san Ciriaco Abate
Giorno festivo,19 settembre
Cartografia,Cartografia
Buonvicino,Buonvicino
Buonvicino – MappaPosizione del comune di Buonvicino all'interno della provincia di Cosenza,Buonvicino – MappaPosizione del comune di Buonvicino all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
