Bocchigliero comune,Bocchigliero comune.1
,
Bocchigliero – Veduta,Bocchigliero – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Alfonso Benevento (lista civica L'Aurora) dal 26-5-2019
Territorio,Territorio
Coordinate,39°25′N 16°45′E
Altitudine,870 m s.l.m.
Superficie,"100,33 km²"
Abitanti,1 027[1] (30-11-2025)
Densità,"10,24 ab./km²"
Frazioni,Calamitti
Comuni confinanti,"Campana, Longobucco, Pietrapaola, San Giovanni in Fiore, Savelli (KR)"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078018
Cod. catastale,A912
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,bocchiglieresi
Patrono,san Nicola di Myra
Giorno festivo,9 maggio (traslazione delle reliquie)
Cartografia,Cartografia
Bocchigliero,Bocchigliero
Bocchigliero – MappaPosizione del comune di Bocchigliero all'interno della provincia di Cosenza,Bocchigliero – MappaPosizione del comune di Bocchigliero all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
