Montalto Uffugo comune,Montalto Uffugo comune.1
,
Montalto Uffugo – VedutaVista panoramica del centro storico,Montalto Uffugo – VedutaVista panoramica del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Biagio Antonio Faragalli dal 24-6-2024
Territorio,Territorio
Coordinate,39°24′N 16°09′E
Altitudine,430[1] m s.l.m.
Superficie,"76,67 km²"
Abitanti,19 905[2] (30-11-2025)
Densità,"259,62 ab./km²"
Frazioni,"Caldopiano, Commicelli, Santa Maria La Castagna, Parantoro, Vaccarizzo, Taverna, Scalo, Settimo, Pianette, San Nicola, Sant'Antonello, Lucchetta[3]"
Comuni confinanti,"Fuscaldo, Lattarico, Luzzi, Paola, Rende, Rose, San Benedetto Ullano, San Fili, San Vincenzo La Costa"
Altre informazioni,Altre informazioni
Cod. postale,"87046; 87040 (Montalto Uffugo Scalo, Taverna)"
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078081
Cod. catastale,F416
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona D, 1 691 GG[5]"
Nome abitanti,montaltesi
Patrono,Madonna della Serra
Giorno festivo,12 febbraio
Cartografia,Cartografia
Montalto Uffugo,Montalto Uffugo
Montalto Uffugo – MappaPosizione del comune di Montalto Uffugo all'interno della provincia di Cosenza,Montalto Uffugo – MappaPosizione del comune di Montalto Uffugo all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
