Figline Vegliaturo comune,Figline Vegliaturo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Pasquale Filice (Progetto Figline) dal 10-6-2024
Territorio,Territorio
Coordinate,39°13′28.34″N 16°19′25.91″E
Altitudine,705 m s.l.m.
Superficie,"4,03 km²"
Abitanti,1 088[1] (30-11-2025)
Densità,"269,98 ab./km²"
Frazioni,"Salinella, Felicetti"
Comuni confinanti,"Aprigliano, Cellara, Mangone, Paterno Calabro, Piane Crati"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078053
Cod. catastale,D582
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,figlinesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Figline Vegliaturo,Figline Vegliaturo
Figline Vegliaturo – MappaPosizione del comune di Figline Vegliaturo all'interno della provincia di Cosenza,Figline Vegliaturo – MappaPosizione del comune di Figline Vegliaturo all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
