Civita comune,Civita comune.1
,
Civita – Veduta,Civita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Alessandro Tocci (lista civica) dal 25-5-2014 (3º mandato dall'8-6-2024)
Lingue ufficiali,"Italiano, Arbëreshe"
Territorio,Territorio
Coordinate,39°50′N 16°19′E
Altitudine,450 m s.l.m.
Superficie,"27,62 km²"
Abitanti,772[1] (30-11-2025)
Densità,"27,95 ab./km²"
Comuni confinanti,"Cassano all'Ionio, Castrovillari, Cerchiara di Calabria, Francavilla Marittima, Frascineto, San Lorenzo Bellizzi"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078041
Cod. catastale,C763
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 247 GG[3]"
Nome abitanti,civitesi (çivitjot in arbëreshe)
Patrono,san Biagio
Giorno festivo,11 febbraio
Cartografia,Cartografia
Civita,Civita
Civita – MappaPosizione del comune di Civita all'interno della provincia di Cosenza,Civita – MappaPosizione del comune di Civita all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
