Vaccarizzo Albanese comune,Vaccarizzo Albanese comune.1
(AAE) Vakarici,(AAE) Vakarici
,
Vaccarizzo Albanese – Veduta,Vaccarizzo Albanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Antonio Pomillo (lista civica Libera mente) dal 27-5-2019
Territorio,Territorio
Coordinate,39°35′N 16°26′E
Altitudine,448 m s.l.m.
Superficie,"8,53 km²"
Abitanti,1 005[1] (30-11-2025)
Densità,"117,82 ab./km²"
Comuni confinanti,"Acri, San Cosmo Albanese, San Giorgio Albanese"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078152
Cod. catastale,L524
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,vaccarizzioti (in arbëreshë Vakariciotë)
Patrono,Nostra Signora di Costantinopoli
Giorno festivo,21 novembre
Cartografia,Cartografia
Vaccarizzo Albanese,Vaccarizzo Albanese
Vaccarizzo Albanese – MappaPosizione del comune di Vaccarizzo Albanese all'interno della provincia di Cosenza,Vaccarizzo Albanese – MappaPosizione del comune di Vaccarizzo Albanese all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
