Alessandria del Carretto comune,Alessandria del Carretto comune.1
,
Alessandria del Carretto – Veduta,Alessandria del Carretto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Domenico Vuodo (lista civica Impegno comune) dal 27-5-2019
Territorio,Territorio
Coordinate,39°58′N 16°23′E
Altitudine,1 000 m s.l.m.
Superficie,"41,12 km²"
Abitanti,333[1] (30-11-2025)
Densità,"8,1 ab./km²"
Comuni confinanti,"Albidona, Castroregio, Cerchiara di Calabria, Oriolo, Plataci, San Paolo Albanese, Cersosimo, Terranova di Pollino (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,87070
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078007
Cod. catastale,A183
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 794 GG[3]"
Nome abitanti,alessandrini
Patrono,Sant'Alessandro Papa Martire
Giorno festivo,ultima domenica di aprile - 3 maggio
Cartografia,Cartografia
Alessandria del Carretto,Alessandria del Carretto
Alessandria del Carretto – MappaPosizione del comune di Alessandria del Carretto all'interno della provincia di Cosenza,Alessandria del Carretto – MappaPosizione del comune di Alessandria del Carretto all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
