Amendolara comune,Amendolara comune.1
,
Amendolara – VedutaLa chiesa di San Domenico,Amendolara – VedutaLa chiesa di San Domenico
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Arch. Maria Rita Acciardi (Alleanza per Amendolara) dal 10-6-2024
Territorio,Territorio
Coordinate,39°57′N 16°35′E
Altitudine,227 m s.l.m.
Superficie,"60,91 km²"
Abitanti,2 588[1] (30-11-2025)
Densità,"42,49 ab./km²"
Frazioni,"Marina, Colfari, Tarianni, Fragalizzi, Pietrastoppa, Falconara, Straface, Stillitano, Masseria Galluzzo, Palamaro, San Giovanni, Gabriele, Camodeca."
Comuni confinanti,"Albidona, Castroregio, Oriolo, Roseto Capo Spulico"
Altre informazioni,Altre informazioni
Cod. postale,87071
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078011
Cod. catastale,A263
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 264 GG[3]"
Nome abitanti,Amendolaresi
Patrono,san Vincenzo Ferreri
Giorno festivo,5 aprile
Cartografia,Cartografia
Amendolara,Amendolara
Amendolara – MappaPosizione del comune di Amendolara all'interno della provincia di Cosenza,Amendolara – MappaPosizione del comune di Amendolara all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
