Cleto comune,Cleto comune.1
,
Cleto – Veduta,Cleto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Armando Bossio (lista civica A testa alta) dal 4-10-2021
Territorio,Territorio
Coordinate,39°05′N 16°10′E
Altitudine,250 m s.l.m.
Superficie,"18,98 km²"
Abitanti,1 261[1] (30-11-2025)
Densità,"66,44 ab./km²"
Frazioni,"Gioiosa, Marina di Savuto, Passamorrone, Pianta, Sant'Antonio, Savuto, Vespano."
Comuni confinanti,"Aiello Calabro, Amantea, Martirano Lombardo (CZ), Nocera Terinese (CZ), San Mango d'Aquino (CZ), Serra d'Aiello"
Altre informazioni,Altre informazioni
Cod. postale,87030
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078042
Cod. catastale,C795
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 309 GG[3]"
Nome abitanti,cletesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Cleto,Cleto
Cleto – MappaPosizione del comune di Cleto all'interno della provincia di Cosenza,Cleto – MappaPosizione del comune di Cleto all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
