Castrolibero comune,Castrolibero comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Orlandino Greco (lista civica Rinascita civica) dal 15-5-2023
Territorio,Territorio
Coordinate,39°19′N 16°12′E
Altitudine,559 m s.l.m.
Superficie,"11,65 km²"
Abitanti,9 072[1] (30-11-2025)
Densità,"778,71 ab./km²"
Frazioni,"Andreotta, Serra Miceli, Santa Lucia, Ortomatera, Rusoli, Garofalo, Fontanesi, Motta, Marchesato, Cavalcanti, Atera, Leandro, Barbaro, Crocevia, Palombelle, Fontana che Piove"
Comuni confinanti,"Cerisano, Cosenza, Marano Marchesato, Marano Principato, Mendicino, Rende"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078031
Cod. catastale,C108
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,castroliberesi
Patrono,san Raffaele Arcangelo
Giorno festivo,24 ottobre
Cartografia,Cartografia
Castrolibero,Castrolibero
Castrolibero – MappaPosizione del comune di Castrolibero all'interno della provincia di Cosenza,Castrolibero – MappaPosizione del comune di Castrolibero all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
