Maierà comune,Maierà comune.1
,
Maierà – VedutaMaierà con Grisolia sullo sfondo,Maierà – VedutaMaierà con Grisolia sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Ivano Russo (lista civica Insieme si può) dal 15-5-2023
Territorio,Territorio
Coordinate,39°43′N 15°51′E
Altitudine,360 m s.l.m.
Superficie,"17,78 km²"
Abitanti,1 105[1] (30-11-2025)
Densità,"62,15 ab./km²"
Frazioni,"Alorio, Arieste, Canfora, Giardino, Lauro, Vrasi"
Comuni confinanti,"Buonvicino, Diamante, Grisolia"
Altre informazioni,Altre informazioni
Cod. postale,87020
Prefisso,0985
Fuso orario,UTC+1
Codice ISTAT,078071
Cod. catastale,E835
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 527 GG[3]"
Nome abitanti,majeraioti
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Maierà,Maierà
Maierà – MappaPosizione del comune di Maierà all'interno della provincia di Cosenza,Maierà – MappaPosizione del comune di Maierà all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
