Paterno Calabro comune,Paterno Calabro comune.1
,
Paterno Calabro – Veduta,Paterno Calabro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Lucia Papaianni (Paterno al centro) dal 15-5-2023 (3º mandato)
Territorio,Territorio
Coordinate,39°14′N 16°16′E
Altitudine,680 m s.l.m.
Superficie,"24,63 km²"
Abitanti,1 318[1] (30-11-2025)
Densità,"53,51 ab./km²"
Frazioni,"Casal di Basso, Calendini, Capore, Merendi, Insiti, Montebeltrano, Pantano Mascaro, Pugliano, Saima, Spadolette, Taverna"
Comuni confinanti,"Belsito, Cosenza, Dipignano, Domanico, Figline Vegliaturo, Malito, Mangone, Marzi, Piane Crati, Santo Stefano di Rogliano"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078094
Cod. catastale,G372
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,paternesi
Patrono,san Francesco di Paola
Giorno festivo,seconda domenica dopo Pasqua
Cartografia,Cartografia
Paterno Calabro,Paterno Calabro
Paterno Calabro – MappaPosizione del comune di Paterno Calabro all'interno della provincia di Cosenza,Paterno Calabro – MappaPosizione del comune di Paterno Calabro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
