Laino Castello comune,Laino Castello comune.1
,
Laino Castello – VedutaPanorama del nuovo centro abitato dal Monte La Destra,Laino Castello – VedutaPanorama del nuovo centro abitato dal Monte La Destra
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,"Giovanni Cosenza (Lista civica ""Insieme Si Cresce"") dal 10-6-2024"
Territorio,Territorio
Coordinate,39°56′10″N 15°58′40″E
Altitudine,545 m s.l.m.
Superficie,"37,33 km²"
Abitanti,750[1] (30-11-2025)
Densità,"20,09 ab./km²"
Comuni confinanti,"Aieta, Laino Borgo, Mormanno, Papasidero, Viggianello (PZ), Rotonda (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,87015
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078064
Cod. catastale,E419
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,lainesi
Patrono,san Teodoro
Giorno festivo,9 novembre
Cartografia,Cartografia
Laino Castello,Laino Castello
Laino Castello – MappaPosizione del comune di Laino Castello all'interno della provincia di Cosenza,Laino Castello – MappaPosizione del comune di Laino Castello all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
