Spezzano Albanese comune,Spezzano Albanese comune.1
(AAE) Spixana,(AAE) Spixana
,
Spezzano Albanese – Veduta,Spezzano Albanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Ferdinando Nociti (Lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,39°40′N 16°19′E
Altitudine,320[1] m s.l.m.
Superficie,"32,26 km²"
Abitanti,6 393[2] (30-11-2025)
Densità,"198,17 ab./km²"
Frazioni,"Spezzano Albanese Scalo, Spezzano Albanese Terme"
Comuni confinanti,"Cassano all'Ionio, Castrovillari, Corigliano-Rossano, San Lorenzo del Vallo, Tarsia, Terranova da Sibari"
Altre informazioni,Altre informazioni
Cod. postale,87019
Prefisso,0981
Fuso orario,UTC+1
Codice ISTAT,078142
Cod. catastale,I895
Targa,CS
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,(IT) spezzanesi (AAE) Spixanjot
Patrono,Madonna delle Grazie
Giorno festivo,Martedì dopo il giorno della Pasqua
Cartografia,Cartografia
Spezzano Albanese,Spezzano Albanese
Spezzano Albanese – MappaPosizione del comune di Spezzano Albanese all'interno della provincia di Cosenza,Spezzano Albanese – MappaPosizione del comune di Spezzano Albanese all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
