Cropalati comune,Cropalati comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Domenico Citrea (Cropalati futura) dal 10-6-2024
Territorio,Territorio
Coordinate,39°31′00.23″N 16°43′36.26″E
Altitudine,384 m s.l.m.
Superficie,"33,7 km²"
Abitanti,967[1] (31-3-2025)
Densità,"28,69 ab./km²"
Comuni confinanti,"Calopezzati, Caloveto, Corigliano-Rossano, Longobucco, Paludi"
Altre informazioni,Altre informazioni
Cod. postale,87060
Prefisso,0983
Fuso orario,UTC+1
Codice ISTAT,078046
Cod. catastale,D180
Targa,CS
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cropalatesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Cropalati,Cropalati
Cropalati – MappaPosizione del comune di Cropalati all'interno della provincia di Cosenza,Cropalati – MappaPosizione del comune di Cropalati all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
