Malito comune,Malito comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Francesco Mario De Rosa (Lista civica Malito 4.0 Start) dal 15-5-2023 (2º mandato)
Territorio,Territorio
Coordinate,39°09′N 16°15′E
Altitudine,728 m s.l.m.
Superficie,"16,92 km²"
Abitanti,680[1] (30-11-2025)
Densità,"40,19 ab./km²"
Frazioni,"Jassa, Petrara, Scannelle"
Comuni confinanti,"Altilia, Belsito, Dipignano, Domanico, Grimaldi, Paterno Calabro"
Altre informazioni,Altre informazioni
Cod. postale,87030
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078072
Cod. catastale,E859
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 256 GG[3]"
Nome abitanti,malitesi
Patrono,sant'Elia Profeta
Giorno festivo,quarto sabato di maggio
Cartografia,Cartografia
Malito,Malito
Malito – MappaPosizione del comune di Malito all'interno della provincia di Cosenza,Malito – MappaPosizione del comune di Malito all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
