Bianchi comune,Bianchi comune.1
,
Bianchi – Veduta,Bianchi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Pasquale Taverna (lista civica Insieme per ricominciare) dal 27-5-2019
Territorio,Territorio
Coordinate,39°06′N 16°25′E
Altitudine,825 m s.l.m.
Superficie,"33,32[1] km²"
Abitanti,1 185[2] (31-3-2022)
Densità,"35,56 ab./km²"
Frazioni,"Censo, Murachi, Palinudo, Paragolio, Ronchi, Serradipiro"
Comuni confinanti,"Carlopoli (CZ), Colosimi, Panettieri, Parenti, Sorbo San Basile (CZ), Soveria Mannelli (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,87050
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078016
Cod. catastale,A842
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[3]
Nome abitanti,biancari
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Bianchi,Bianchi
Bianchi – MappaPosizione del comune di Bianchi all'interno della provincia di Cosenza,Bianchi – MappaPosizione del comune di Bianchi all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
