Lattarico comune,Lattarico comune.1
,
Lattarico – Veduta,Lattarico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Antonella Blandi (Lattarico per tutti) dal 26-5-2014
Territorio,Territorio
Coordinate,39°28′N 16°08′E
Altitudine,406 m s.l.m.
Superficie,"43,93 km²"
Abitanti,3 672[1] (30-11-2025)
Densità,"83,59 ab./km²"
Frazioni,"Campo di Fieno, Contessa, Cozzo Carbonaro, Palazzello, Piretto, Regina"
Comuni confinanti,"Bisignano, Fuscaldo, Luzzi, Montalto Uffugo, Rota Greca, San Benedetto Ullano, San Martino di Finita, Torano Castello"
Altre informazioni,Altre informazioni
Cod. postale,87010
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078066
Cod. catastale,E475
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,lattarichesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Lattarico,Lattarico
Lattarico – MappaPosizione del comune di Lattarico all'interno della provincia di Cosenza,Lattarico – MappaPosizione del comune di Lattarico all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
