Belmonte Calabro comune,Belmonte Calabro comune.1
,
Belmonte Calabro – Veduta,Belmonte Calabro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Roberto Veltri (Impegno comune) dal 4-10-2021
Territorio,Territorio
Coordinate,39°10′N 16°05′E
Altitudine,262 m s.l.m.
Superficie,"23,98 km²"
Abitanti,1 670[1] (30-11-2025)
Densità,"69,64 ab./km²"
Frazioni,"Annunziata, Marina di Belmonte, Piane, Cava, Salice, Santa Barbara, Spineto, Vadi"
Comuni confinanti,"Amantea, Lago, Longobardi, Mendicino, San Pietro in Amantea"
Altre informazioni,Altre informazioni
Cod. postale,87033
Prefisso,0982
Fuso orario,UTC+1
Codice ISTAT,078013
Cod. catastale,A762
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 333 GG[3]"
Nome abitanti,belmontesi
Patrono,san Bonaventura
Giorno festivo,15 luglio
Cartografia,Cartografia
Belmonte Calabro,Belmonte Calabro
Belmonte Calabro – MappaPosizione del comune di Belmonte Calabro all'interno della provincia di Cosenza,Belmonte Calabro – MappaPosizione del comune di Belmonte Calabro all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
