San Benedetto Ullano comune,San Benedetto Ullano comune.1
,
San Benedetto Ullano – VedutaPanoramica di San Benedetto Ullano,San Benedetto Ullano – VedutaPanoramica di San Benedetto Ullano
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Cosenza
Amministrazione,Amministrazione
Sindaco,Rosaria Amalia Capparelli (Impegno Comune) dal 26-5-2014
Territorio,Territorio
Coordinate,39°26′N 16°07′E
Altitudine,460 m s.l.m.
Superficie,"19,57 km²"
Abitanti,1 366[1] (30-11-2025)
Densità,"69,8 ab./km²"
Frazioni,"Marri, Piano dei Rossi"
Comuni confinanti,"Fuscaldo, Lattarico, Montalto Uffugo"
Altre informazioni,Altre informazioni
Cod. postale,87040
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,078112
Cod. catastale,H774
Targa,CS
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,(IT) sanbenedettesi (AAE) shënbenedhitan
Patrono,San Benedetto Abate
Giorno festivo,21 marzo
Cartografia,Cartografia
San Benedetto Ullano,San Benedetto Ullano
San Benedetto Ullano – MappaPosizione del comune di San Benedetto Ullano all'interno della provincia di Cosenza,San Benedetto Ullano – MappaPosizione del comune di San Benedetto Ullano all'interno della provincia di Cosenza
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
