Cagli comune,Cagli comune.1
,
Cagli – VedutaVeduta panoramica di Cagli,Cagli – VedutaVeduta panoramica di Cagli
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Alberto Alessandri (lista civica di centro-destra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,XII secolo
Territorio,Territorio
Coordinate,43°32′49.2″N 12°38′50.28″E
Altitudine,276 m s.l.m.
Superficie,"226,46 km²"
Abitanti,7 883[1] (30-11-2025)
Densità,"34,81 ab./km²"
Frazioni,"Abbadia di Naro, Acquaviva, Ca' Bargello, Ca' Rio, Cerreto, Foci, Massa, Moria, Paravento, Pianello, Pieia, Secchiano, Smirra"
Comuni confinanti,"Acqualagna, Apecchio, Cantiano, Fermignano, Fossombrone, Frontone, Gubbio (PG), Pergola, Pietralunga (PG), Piobbico, Urbania"
Altre informazioni,Altre informazioni
Cod. postale,61043
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041007
Cod. catastale,B352
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 295 GG[3]"
Nome abitanti,cagliesi
Patrono,"san Geronzio, san Rainerio compatrono"
Giorno festivo,9 maggio
Motto,Callium fide et concordia sibi superstes
Cartografia,Cartografia
Cagli,Cagli
Cagli – MappaPosizione del comune di Cagli nella provincia di Pesaro e Urbino,Cagli – MappaPosizione del comune di Cagli nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
