Piandimeleto comune,Piandimeleto comune.1
,
Piandimeleto – Veduta,Piandimeleto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Annita Lazzarini (Vicesindaca - Sindaca f.f.) dal 14-11-2025
Territorio,Territorio
Coordinate,43°43′27.12″N 12°24′46.02″E
Altitudine,319 m s.l.m.
Superficie,"39,9 km²"
Abitanti,2 045[1] (30-11-2025)
Densità,"51,25 ab./km²"
Frazioni,"Cavoleto, Monastero, Pirlo, San Sisto, Viano[2]"
Comuni confinanti,"Belforte all'Isauro, Carpegna, Frontino, Lunano, Macerata Feltria, Pietrarubbia, Sant'Angelo in Vado, Sassocorvaro Auditore, Sestino (AR), Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61026
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041047
Cod. catastale,G551
Targa,PU
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 330 GG[4]"
Nome abitanti,pianmeletesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Piandimeleto,Piandimeleto
Piandimeleto – MappaPosizione del comune di Piandimeleto nella provincia di Pesaro e Urbino,Piandimeleto – MappaPosizione del comune di Piandimeleto nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
