Urbania comune,Urbania comune.1
,
Urbania – Veduta,Urbania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Marco Ciccolini (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°40′03.98″N 12°31′19.52″E
Altitudine,273 m s.l.m.
Superficie,"77,53 km²"
Abitanti,6 891[1] (30-11-2025)
Densità,"88,88 ab./km²"
Frazioni,"Barca, Campi Resi, Campolungo, Gualdi, Muraglione, Orsaiola, Ponte San Giovanni, San Lorenzo in Torre, Santa Maria del Piano, Santa Maria in Campolungo, Santa Maria in Spinateci, San Vincenzo in Candigliano"
Comuni confinanti,"Acqualagna, Apecchio, Cagli, Fermignano, Peglio, Piobbico, Sant'Angelo in Vado, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61049
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041066
Cod. catastale,L498
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 293 GG[3]"
Nome abitanti,"urbaniesi, durantini"
Patrono,san Cristoforo
Giorno festivo,25 luglio
PIL procapite,"(nominale) 19,874 € (2023)[4]"
Cartografia,Cartografia
Urbania,Urbania
Urbania – MappaPosizione del comune di Urbania nella provincia di Pesaro e Urbino,Urbania – MappaPosizione del comune di Urbania nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
