Borgo Pace comune,Borgo Pace comune.1
,
Borgo Pace – Veduta,Borgo Pace – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Romina Pierantoni (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°39′28.44″N 12°17′38.94″E
Altitudine,469 m s.l.m.
Superficie,"56,22 km²"
Abitanti,514[1] (30-11-2025)
Densità,"9,14 ab./km²"
Frazioni,"Lamoli, Parchiule, Sompiano"
Comuni confinanti,"Badia Tedalda (AR), Carpegna, Mercatello sul Metauro, San Giustino (PG), Sansepolcro (AR), Sestino (AR)"
Altre informazioni,Altre informazioni
Cod. postale,61040
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041006
Cod. catastale,B026
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 523 GG[3]"
Nome abitanti,borgopacesi
Patrono,sant'Eurosia di Jaca
Giorno festivo,maggio
Cartografia,Cartografia
Borgo Pace,Borgo Pace
Borgo Pace – MappaPosizione del comune di Borgo Pace nella provincia di Pesaro e Urbino,Borgo Pace – MappaPosizione del comune di Borgo Pace nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
