Fossombrone comune,Fossombrone comune.1
,
Fossombrone – Veduta,Fossombrone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Massimo Berloni (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,43°41′20.24″N 12°48′22.03″E
Altitudine,118 m s.l.m.
Superficie,"106,88 km²"
Abitanti,9 016[1] (30-11-2025)
Densità,"84,36 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Cagli, Fermignano, Fratte Rosa, Isola del Piano, Montefelcino, Pergola, Sant'Ippolito, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61034
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041015
Cod. catastale,D749
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 167 GG[3]"
Nome abitanti,"forsempronesi, fossombronesi"
Patrono,sant'Aldebrando
Giorno festivo,1º maggio
PIL procapite,"(nominale) 19,992 € (2023)[4]"
Cartografia,Cartografia
Fossombrone,Fossombrone
Fossombrone – MappaPosizione del comune di Fossombrone nella provincia di Pesaro e Urbino,Fossombrone – MappaPosizione del comune di Fossombrone nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
