Lunano comune,Lunano comune.1
,
Lunano – Veduta,Lunano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Mauro Dini (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°43′49.26″N 12°26′26.34″E
Altitudine,297 m s.l.m.
Superficie,"15,01 km²"
Abitanti,1 417[1] (30-11-2025)
Densità,"94,4 ab./km²"
Frazioni,"Camino, Mutino, Pietracavola, Serra di Piastra"
Comuni confinanti,"Macerata Feltria, Piandimeleto, Sassocorvaro Auditore, Urbino"
Altre informazioni,Altre informazioni
Cod. postale,61026
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041022
Cod. catastale,E743
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 312 GG[3]"
Nome abitanti,lunanesi
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
Cartografia,Cartografia
Lunano,Lunano
Lunano – MappaPosizione del comune di Lunano nella provincia di Pesaro e Urbino,Lunano – MappaPosizione del comune di Lunano nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
