Terre Roveresche comune,Terre Roveresche comune.1
,
Terre Roveresche – Veduta,Terre Roveresche – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Antonio Sebastianelli (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1º gennaio 2017
Territorio,Territorio
Coordinate,43°41′19.93″N 12°57′55.8″E
Superficie,"70,37 km²"
Abitanti,5 189[1] (30-11-2025)
Densità,"73,74 ab./km²"
Frazioni,"Municipi (ex comuni): Barchi, Orciano di Pesaro, Piagge, San Giorgio di Pesaro. Frazioni: Cerbara, Montale, Montebello, Montecucco, Poggio, Rupoli, Sacramento, San Bartolo, San Filippo, Schieppe, Spicello, Vergineto, Villa del Monte."
Comuni confinanti,"Cartoceto, Colli al Metauro, Fano, Fratte Rosa, Mondavio, Monte Porzio, San Costanzo, Sant'Ippolito"
Altre informazioni,Altre informazioni
Cod. postale,61038
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041070
Cod. catastale,M379
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Patrono,san Pasquale Baylón[3]
Giorno festivo,17 maggio[3]
Cartografia,Cartografia
Terre Roveresche,Terre Roveresche
Terre Roveresche – MappaPosizione del comune di Terre Roveresche nella provincia di Pesaro e Urbino,Terre Roveresche – MappaPosizione del comune di Terre Roveresche nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
