Colli al Metauro comune,Colli al Metauro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Capoluogo,Calcinelli
Sindaco,Pietro Briganti (lista civica) dal 4-10-2021
Data di istituzione,1º gennaio 2017
Territorio,Territorio
Coordinate del capoluogo,43°45′12.35″N 12°53′51.36″E
Altitudine,66 m s.l.m.
Superficie,"46,17 km²"
Abitanti,12 347[1] (30-11-2025)
Densità,"267,42 ab./km²"
Frazioni,"Bargni, Beato Sante (insieme a Mombaroccio), Borgaccio, Calcinelli, Fiordipiano, Montemaggiore al Metauro, Pozzuolo, Saltara, San Liberio, Serrungarina, Tavernelle, Villanova."
Comuni confinanti,"Cartoceto, Mombaroccio, Mondavio, Montefelcino, Pesaro, Sant'Ippolito, Terre Roveresche"
Altre informazioni,Altre informazioni
Cod. postale,61036
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041069
Cod. catastale,M380
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Patrono,Santa Teresa di Calcutta[3]
Giorno festivo,5 settembre
Cartografia,Cartografia
Calcinelli,Calcinelli
Colli al Metauro – MappaPosizione del comune di Colli al Metauro nella provincia di Pesaro e Urbino,Colli al Metauro – MappaPosizione del comune di Colli al Metauro nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
