Apecchio comune,Apecchio comune.1
,
Apecchio – Veduta,Apecchio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Vittorio Alberto Nicolucci (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°33′32.58″N 12°25′05.88″E
Altitudine,493 m s.l.m.
Superficie,"103,11 km²"
Abitanti,1 663[1] (30-11-2025)
Densità,"16,13 ab./km²"
Frazioni,"Caselle Salceto, Colombara, Osteria Nuova, Pian del Serra, Pian di Molino, San Martino del Piano, Serravalle di Carda, Valdara"
Comuni confinanti,"Cagli, Città di Castello (PG), Mercatello sul Metauro, Pietralunga (PG), Piobbico, Sant'Angelo in Vado, Urbania"
Altre informazioni,Altre informazioni
Cod. postale,61042
Prefisso,0722
Fuso orario,UTC+1
Codice ISTAT,041002
Cod. catastale,A327
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 543 GG[3]"
Nome abitanti,apecchiesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Apecchio,Apecchio
Apecchio – MappaPosizione del comune di Apecchio nella provincia di Pesaro e Urbino,Apecchio – MappaPosizione del comune di Apecchio nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
