San Costanzo comune,San Costanzo comune.1
,
San Costanzo – VedutaComune di San Costanzo,San Costanzo – VedutaComune di San Costanzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Pesaro e Urbino
Amministrazione,Amministrazione
Sindaco,Domenico Carbone (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°46′01.92″N 13°04′23.02″E
Altitudine,150 m s.l.m.
Superficie,"40,89 km²"
Abitanti,4 639[1] (30-11-2025)
Densità,"113,45 ab./km²"
Frazioni,"Cerasa, Stacciola"
Comuni confinanti,"Fano, Mondolfo, Monte Porzio, Terre Roveresche, Trecastelli (AN)"
Altre informazioni,Altre informazioni
Cod. postale,61039
Prefisso,0721
Fuso orario,UTC+1
Codice ISTAT,041051
Cod. catastale,H809
Targa,PU
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 193 GG[3]"
Nome abitanti,sancostanzesi
Patrono,san Costanzo
Giorno festivo,15 gennaio
Cartografia,Cartografia
San Costanzo,San Costanzo
San Costanzo – MappaPosizione del comune di San Costanzo nella provincia di Pesaro e Urbino,San Costanzo – MappaPosizione del comune di San Costanzo nella provincia di Pesaro e Urbino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
